Place ID,Name,Review,Time,Rating
ChIJowswABv9DDkRlIwWegNm4LA,Vikash Sharma,"The food giant has its wing in Chandni Chowk main market. It's easily accessible and has ground plus first floor. First floor being only for families. Its a self service joint and food is good without doubt. A bit crowded at times otherwise its a good place to ha e snacks, meals and specially made seasonal food.",5 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,chandni kaur,"Came here in 2015 and it was very good then. Came back again now in 2020 and its terrible. The staff look absolutely careless and they are SO forgetful when you go to order. The service is absolutely slow, my appetite vanished because of the wait. It's extremely busy and there's barely any space to sit and eat. I ordered good amount of food and half of it was stone cold. My parents disliked it so much and even questioned if this was the place I came to couple of years ago. Do not like it at all and won't go back",3 months ago, 2 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Madhavi Latha,"Nice Restaurant overall. We wanted a good restaurant to have a lunch. This did serve the purpose with great food. Nice and good taste of food. Is good for having lunch. We were traveling, so we're in a hurry. But this place is quick enough when serving an order. There are many restaurants which take a lot of time to serve food of. According to my experience, this was OK when compared to the others( not nearby this, I'm generally speaking).",6 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,mohammed nasar,One of the oldest branches of a famous food chain. Heaven for Vegetarians. Love the chaat and desserts especially the badam milk.,a month ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Lindsay Axford,"Ate at the family restaurant and the food was great. We tried very many different types of Delhi street food and everything was delicious. I'd recommend this place to Anyone who wants to try Delhi street food classics but isn't sure about how their stomach will handle the authentic ""on the street"" variety.",4 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,s s kedia,Tasty food. Always CROWDED. Value for money. One of the best quality sweets. Highly recommended.,2 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Kavin Pandya,"Amidst the street food shops of Chandni Chowk - this will give you all of those options together.
From Sweets to Samosa to South-indian and even cold-drinks, they serve it all.
#Rates are reasonable, cleanliness is also maintained, #space can be an issue if you are in a big group. Sitting arrangement is also available upstairs.
Shahi Kachori is a #MUST_TRY",a month ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,vyapar mandal,Good place to eat healthy food quality is good for eating you have to go 1 st floor and for washroom on 2 nd floor,a month ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Beejoy Venkkat,"Good food with good ambience. 
Only thing is make more seating arrangements because the seating place is less for the amount of people they cater to. 
Rest kudos!",3 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Abhishek Mahato,"The taste isn't okay for the price we're paying for. I went there around 7 PM on evening and most of their items were already sold out and we also got the wrong order and also they don't serve water with food, either you have to buy water or just carry a water bottle with yourself. The taste was average.",4 months ago, 3 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Lenessa Colaco,Too yummy to let go off the place. Amazing chat. Raj kachori highly recommended.,3 months ago, 5 stars 
